sessionnumb  20260904180823 
gap> Read("Task20260904Ud.g");
1 42 1 
2 82 1 
3 121 1 
4 159 2 
5 196 2 
6 233 2 
7 268 2 
8 303 2 
9 337 2 
10 370 2 
11 403 3 
12 435 3 
13 466 3 
14 497 3 
15 528 3 
16 559 3 
17 587 3 
18 616 3 
19 644 3 
20 673 3 
21 700 3 
22 728 3 
23 754 3 
24 781 3 
25 809 3 
26 838 3 
27 867 3 
28 894 3 
29 918 3 
30 943 3 
31 968 3 
32 993 3 
33 1017 3 
34 1042 3 
35 1065 3 
36 1092 3 
37 1116 3 
38 1138 3 
39 1161 3 
40 1173 3 
41 1199 3 
42 1220 3 
43 1259 3 
44 1297 3 
45 1334 3 
46 1371 3 
47 1406 3 
48 1441 3 
49 1476 3 
50 1509 3 
51 1541 3 
52 1573 3 
53 1604 3 
54 1635 3 
55 1666 3 
56 1697 3 
57 1725 3 
58 1754 3 
59 1782 3 
60 1811 3 
61 1840 3 
62 1867 3 
63 1895 3 
64 1921 3 
65 1948 3 
66 1974 3 
67 2002 3 
68 2027 3 
69 2053 3 
70 2081 3 
71 2106 3 
72 2131 3 
73 2155 3 
74 2180 3 
75 2204 3 
76 2231 3 
77 2254 3 
78 2281 3 
79 2303 3 
80 2315 3 
81 2337 3 
82 2358 3 
83 2397 3 
84 2434 3 
85 2470 3 
86 2506 3 
87 2540 3 
88 2574 3 
89 2607 3 
90 2640 3 
91 2672 3 
92 2703 3 
93 2734 3 
94 2765 3 
95 2795 3 
96 2825 3 
97 2854 3 
98 2882 3 
99 2910 3 
100 2937 3 
101 2966 3 
102 2996 3 
103 3024 3 
104 3050 3 
105 3076 3 
106 3102 3 
107 3127 3 
108 3155 3 
109 3180 3 
110 3206 3 
111 3230 3 
112 3254 3 
113 3281 3 
114 3306 3 
115 3329 3 
116 3352 3 
117 3375 3 
118 3398 3 
119 3410 3 
120 3436 3 
121 3457 3 
122 3494 3 
123 3531 3 
124 3566 3 
125 3601 4 
126 3636 4 
127 3667 5 
128 3699 5 
129 3731 5 
130 3760 5 
131 3791 5 
132 3820 5 
133 3848 5 
134 3876 5 
135 3903 5 
136 3931 5 
137 3960 5 
138 3987 5 
139 4016 5 
140 4042 5 
141 4065 5 
142 4093 5 
143 4122 5 
144 4151 5 
145 4178 5 
146 4202 5 
147 4227 5 
148 4254 5 
149 4281 5 
150 4308 5 
151 4333 5 
152 4356 5 
153 4383 5 
154 4407 5 
155 4429 5 
156 4455 5 
157 4467 5 
158 4493 5 
159 4518 5 
160 4555 5 
161 4591 5 
162 4625 5 
163 4659 5 
164 4692 5 
165 4725 5 
166 4757 5 
167 4788 5 
168 4819 5 
169 4850 5 
170 4881 5 
171 4909 5 
172 4938 5 
173 4966 5 
174 4995 5 
175 5022 5 
176 5050 5 
177 5076 5 
178 5103 5 
179 5131 5 
180 5160 5 
181 5189 5 
182 5216 5 
183 5240 5 
184 5265 5 
185 5290 5 
186 5315 5 
187 5339 5 
188 5364 5 
189 5387 5 
190 5414 5 
191 5438 5 
192 5460 5 
193 5483 5 
194 5495 5 
195 5521 5 
196 5542 5 
197 5578 5 
198 5613 5 
199 5648 5 
200 5682 5 
201 5715 5 
202 5748 5 
203 5780 5 
204 5811 5 
205 5842 5 
206 5873 5 
207 5904 5 
208 5932 5 
209 5961 5 
210 5989 5 
211 6018 5 
212 6045 5 
213 6073 5 
214 6099 5 
215 6128 5 
216 6154 5 
217 6183 5 
218 6212 5 
219 6239 5 
220 6265 5 
221 6288 5 
222 6313 5 
223 6338 5 
224 6362 5 
225 6387 5 
226 6410 5 
227 6437 5 
228 6461 5 
229 6483 5 
230 6506 5 
231 6518 5 
232 6544 5 
233 6565 5 
234 6600 5 
235 6634 5 
236 6667 5 
237 6700 5 
238 6732 5 
239 6763 5 
240 6794 5 
241 6825 5 
242 6856 5 
243 6884 5 
244 6913 5 
245 6941 5 
246 6970 5 
247 6997 5 
248 7025 5 
249 7051 5 
250 7078 5 
251 7106 5 
252 7135 5 
253 7164 5 
254 7191 5 
255 7215 5 
256 7240 5 
257 7265 5 
258 7290 5 
259 7314 5 
260 7339 5 
261 7362 5 
262 7389 5 
263 7413 5 
264 7435 5 
265 7458 5 
266 7485 5 
267 7496 5 
268 7517 5 
269 7549 5 
270 7581 5 
271 7614 5 
272 7647 5 
273 7679 5 
274 7708 5 
275 7739 5 
276 7770 5 
277 7801 5 
278 7829 5 
279 7856 5 
280 7884 5 
281 7913 5 
282 7940 5 
283 7968 5 
284 7991 5 
285 8018 5 
286 8046 5 
287 8075 5 
288 8104 5 
289 8132 5 
290 8152 5 
291 8179 5 
292 8204 5 
293 8229 5 
294 8253 5 
295 8280 5 
296 8306 5 
297 8333 5 
298 8360 5 
299 8386 5 
300 8409 5 
301 8421 5 
302 8447 5 
303 8468 5 
304 8503 5 
305 8536 5 
306 8569 5 
307 8601 5 
308 8632 5 
309 8661 5 
310 8689 5 
311 8720 5 
312 8749 5 
313 8778 5 
314 8806 5 
315 8835 5 
316 8864 5 
317 8892 5 
318 8914 5 
319 8941 5 
320 8969 5 
321 8998 5 
322 9027 5 
323 9054 5 
324 9078 5 
325 9103 5 
326 9128 5 
327 9155 5 
328 9179 5 
329 9204 5 
330 9227 5 
331 9254 5 
332 9280 5 
333 9306 5 
334 9329 5 
335 9339 5 
336 9365 5 
337 9390 5 
338 9422 5 
339 9455 5 
340 9487 5 
341 9518 5 
342 9549 5 
343 9580 5 
344 9611 5 
345 9639 5 
346 9668 5 
347 9696 5 
348 9725 5 
349 9752 5 
350 9780 5 
351 9806 5 
352 9833 5 
353 9861 5 
354 9890 5 
355 9919 5 
356 9944 5 
357 9970 5 
358 9995 5 
359 10020 5 
360 10045 5 
361 10069 5 
362 10094 5 
363 10117 5 
364 10144 5 
365 10168 5 
366 10190 5 
367 10213 5 
368 10225 5 
369 10251 5 
370 10272 5 
371 10304 5 
372 10337 5 
373 10369 5 
374 10400 5 
375 10431 5 
376 10461 5 
377 10491 5 
378 10521 5 
379 10550 5 
380 10578 5 
381 10606 5 
382 10633 5 
383 10661 5 
384 10687 5 
385 10714 5 
386 10740 5 
387 10767 5 
388 10794 5 
389 10819 5 
390 10844 5 
391 10869 5 
392 10894 5 
393 10919 5 
394 10943 5 
395 10968 5 
396 10991 5 
397 11015 5 
398 11039 5 
399 11061 5 
400 11084 5 
401 11098 5 
402 11120 5 
403 11141 5 
404 11172 5 
405 11203 5 
406 11234 5 
407 11265 5 
408 11296 5 
409 11327 5 
410 11355 5 
411 11384 5 
412 11414 5 
413 11442 5 
414 11468 5 
415 11496 5 
416 11522 5 
417 11551 5 
418 11579 5 
419 11605 5 
420 11630 5 
421 11655 5 
422 11680 5 
423 11708 5 
424 11733 5 
425 11761 5 
426 11788 5 
427 11812 5 
428 11837 5 
429 11861 5 
430 11884 5 
431 11911 5 
432 11934 5 
433 11956 5 
434 11967 5 
435 11988 5 
436 12017 5 
437 12048 5 
438 12079 5 
439 12110 5 
440 12140 5 
441 12170 5 
442 12199 5 
443 12225 5 
444 12253 5 
445 12281 5 
446 12310 5 
447 12336 5 
448 12363 5 
449 12391 5 
450 12420 5 
451 12449 5 
452 12476 5 
453 12502 5 
454 12527 5 
455 12546 5 
456 12573 5 
457 12598 5 
458 12625 5 
459 12649 5 
460 12675 5 
461 12698 5 
462 12724 5 
463 12735 5 
464 12761 5 
465 12787 5 
466 12808 5 
467 12839 5 
468 12869 5 
469 12899 5 
470 12930 5 
471 12959 5 
472 12989 5 
473 13017 5 
474 13045 5 
475 13073 5 
476 13102 5 
477 13131 5 
478 13160 5 
479 13189 5 
480 13214 5 
481 13240 5 
482 13266 5 
483 13292 5 
484 13316 5 
485 13344 5 
486 13370 5 
487 13394 5 
488 13419 5 
489 13442 5 
490 13466 5 
491 13493 5 
492 13517 5 
493 13540 5 
494 13563 5 
495 13575 5 
496 13601 5 
497 13622 5 
498 13653 5 
499 13683 5 
500 13714 5 
501 13745 5 
502 13775 5 
503 13804 5 
504 13834 5 
505 13862 5 
506 13889 5 
507 13919 5 
508 13949 5 
509 13978 5 
510 14004 5 
511 14030 5 
512 14056 5 
513 14082 5 
514 14110 5 
515 14135 5 
516 14159 5 
517 14187 5 
518 14212 5 
519 14233 5 
520 14256 5 
521 14280 5 
522 14295 5 
523 14318 5 
524 14340 5 
525 14366 5 
526 14389 5 
527 14410 5 
528 14435 5 
529 14467 5 
530 14497 5 
531 14527 5 
532 14558 5 
533 14586 5 
534 14617 5 
535 14645 5 
536 14674 5 
537 14701 5 
538 14730 5 
539 14760 5 
540 14786 5 
541 14813 5 
542 14840 5 
543 14867 5 
544 14893 5 
545 14920 5 
546 14948 5 
547 14973 5 
548 14998 5 
549 15020 5 
550 15045 5 
551 15062 5 
552 15089 5 
553 15107 5 
554 15131 5 
