sessionnumb  20260924122212 
16 17 420 [ [ -2, 16 ], [ 1, 104 ], [ 3, 136 ] ] 
17 18 459 [ [ -2, 17 ], [ 1, 130 ], [ 3, 142 ] ] 
16 17 402 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
16 17 495 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
15 16 402 [ [ -2, 15 ], [ 1, 100 ], [ 3, 110 ] ] 
16 17 519 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
18 19 620 [ [ -2, 18 ], [ 1, 138 ], [ 3, 168 ] ] 
16 17 465 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
17 18 777 [ [ -2, 17 ], [ 1, 138 ], [ 3, 134 ] ] 
15 16 442 [ [ -2, 15 ], [ 1, 100 ], [ 3, 110 ] ] 
17 18 429 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
17 18 429 [ [ -2, 17 ], [ 1, 116 ], [ 3, 156 ] ] 
15 16 407 [ [ -2, 15 ], [ 1, 104 ], [ 3, 106 ] ] 
16 17 402 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
15 16 416 [ [ -2, 15 ], [ 1, 90 ], [ 3, 120 ] ] 
15 16 444 [ [ -2, 15 ], [ 1, 102 ], [ 3, 108 ] ] 
15 16 475 [ [ -2, 15 ], [ 1, 100 ], [ 3, 110 ] ] 
15 16 421 [ [ -2, 15 ], [ 1, 98 ], [ 3, 112 ] ] 
15 16 414 [ [ -2, 15 ], [ 1, 108 ], [ 3, 102 ] ] 
15 16 428 [ [ -2, 15 ], [ 1, 114 ], [ 3, 96 ] ] 
16 17 480 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
15 16 404 [ [ -2, 15 ], [ 1, 98 ], [ 3, 112 ] ] 
18 19 862 [ [ -2, 18 ], [ 1, 162 ], [ 3, 144 ] ] 
17 18 481 [ [ -2, 17 ], [ 1, 144 ], [ 3, 128 ] ] 
